DateTime,VariableID,VariableValue,VariableName,VariableUnits
2016-09-13 14:41:29,2,-62.853,longitude,degree
2016-09-13 14:41:29,3,41.344,latitude,degree
2016-09-13 14:41:29,34,B,argosLC,unitless
2016-09-13 17:42:33,2,-62.98,longitude,degree
2016-09-13 17:42:33,3,41.432,latitude,degree
2016-09-13 17:42:33,34,B,argosLC,unitless
2016-09-13 19:21:55,2,-62.962,longitude,degree
2016-09-13 19:21:55,3,41.438,latitude,degree
2016-09-13 19:21:55,34,B,argosLC,unitless
2016-09-14 00:16:58,2,-62.813,longitude,degree
2016-09-14 00:16:58,3,41.38,latitude,degree
2016-09-14 00:16:58,34,3,argosLC,unitless
2016-09-14 01:15:34,2,-62.797,longitude,degree
2016-09-14 01:15:34,3,41.378,latitude,degree
2016-09-14 01:15:34,34,B,argosLC,unitless
2016-09-14 02:03:52,2,-62.765,longitude,degree
2016-09-14 02:03:52,3,41.369,latitude,degree
2016-09-14 02:03:52,34,B,argosLC,unitless
2016-09-14 11:01:35,2,-62.586,longitude,degree
2016-09-14 11:01:35,3,41.184,latitude,degree
2016-09-14 11:01:35,34,A,argosLC,unitless
2016-09-15 01:42:01,2,-62.212,longitude,degree
2016-09-15 01:42:01,3,40.987,latitude,degree
2016-09-15 01:42:01,34,B,argosLC,unitless
2016-09-15 05:49:40,2,-62.117,longitude,degree
2016-09-15 05:49:40,3,40.943,latitude,degree
2016-09-15 05:49:40,34,B,argosLC,unitless
2016-09-15 07:29:46,2,-62.087,longitude,degree
2016-09-15 07:29:46,3,40.933,latitude,degree
2016-09-15 07:29:46,34,A,argosLC,unitless
2016-09-15 08:35:33,2,-62.068,longitude,degree
2016-09-15 08:35:33,3,40.909,latitude,degree
2016-09-15 08:35:33,34,0,argosLC,unitless
2016-09-15 09:00:02,2,-62.079,longitude,degree
2016-09-15 09:00:02,3,40.916,latitude,degree
2016-09-15 09:00:02,34,B,argosLC,unitless
2016-09-16 00:35:03,2,-61.7,longitude,degree
2016-09-16 00:35:03,3,40.764,latitude,degree
2016-09-16 00:35:03,34,B,argosLC,unitless
2016-09-16 07:21:40,2,-61.542,longitude,degree
2016-09-16 07:21:40,3,40.793,latitude,degree
2016-09-16 07:21:40,34,B,argosLC,unitless
2016-09-16 21:19:04,2,-61.229,longitude,degree
2016-09-16 21:19:04,3,40.735,latitude,degree
2016-09-16 21:19:04,34,B,argosLC,unitless
2016-09-16 21:19:55,2,-61.183,longitude,degree
2016-09-16 21:19:55,3,41.069,latitude,degree
2016-09-16 21:19:55,34,A,argosLC,unitless
2016-09-17 16:58:31,2,-60.964,longitude,degree
2016-09-17 16:58:31,3,41.448,latitude,degree
2016-09-17 16:58:31,34,A,argosLC,unitless
2016-09-18 06:53:59,2,-60.803,longitude,degree
2016-09-18 06:53:59,3,41.825,latitude,degree
2016-09-18 06:53:59,34,B,argosLC,unitless
2016-09-18 09:23:49,2,-60.549,longitude,degree
2016-09-18 09:23:49,3,41.966,latitude,degree
2016-09-18 09:23:49,34,A,argosLC,unitless
2016-09-18 13:45:12,2,-60.33,longitude,degree
2016-09-18 13:45:12,3,42.178,latitude,degree
2016-09-18 13:45:12,34,A,argosLC,unitless
2016-09-18 14:32:19,2,-60.29,longitude,degree
2016-09-18 14:32:19,3,42.203,latitude,degree
2016-09-18 14:32:19,34,B,argosLC,unitless
2016-09-19 09:12:49,2,-59.32,longitude,degree
2016-09-19 09:12:49,3,42.715,latitude,degree
2016-09-19 09:12:49,34,B,argosLC,unitless
2016-09-19 10:05:56,2,-59.162,longitude,degree
2016-09-19 10:05:56,3,42.688,latitude,degree
2016-09-19 10:05:56,34,B,argosLC,unitless
2016-09-20 07:56:27,2,-58.63,longitude,degree
2016-09-20 07:56:27,3,42.548,latitude,degree
2016-09-20 07:56:27,34,B,argosLC,unitless
2016-09-20 08:09:59,2,-58.612,longitude,degree
2016-09-20 08:09:59,3,42.621,latitude,degree
2016-09-20 08:09:59,34,B,argosLC,unitless
2016-09-20 10:43:25,2,-58.766,longitude,degree
2016-09-20 10:43:25,3,42.477,latitude,degree
2016-09-20 10:43:25,34,B,argosLC,unitless
2016-09-20 12:23:07,2,-58.582,longitude,degree
2016-09-20 12:23:07,3,42.413,latitude,degree
2016-09-20 12:23:07,34,B,argosLC,unitless
2016-09-21 09:09:52,2,-58.447,longitude,degree
2016-09-21 09:09:52,3,42.159,latitude,degree
2016-09-21 09:09:52,34,B,argosLC,unitless
2016-09-22 01:48:38,2,-57.607,longitude,degree
2016-09-22 01:48:38,3,42.181,latitude,degree
2016-09-22 01:48:38,34,B,argosLC,unitless
2016-09-23 22:00:43,2,-56.119,longitude,degree
2016-09-23 22:00:43,3,42.442,latitude,degree
2016-09-23 22:00:43,34,A,argosLC,unitless
2016-09-24 07:24:14,2,-55.25,longitude,degree
2016-09-24 07:24:14,3,42.411,latitude,degree
2016-09-24 07:24:14,34,B,argosLC,unitless
2016-09-24 19:00:03,2,-55.71,longitude,degree
2016-09-24 19:00:03,3,42.464,latitude,degree
2016-09-24 19:00:03,34,B,argosLC,unitless
2016-09-25 10:19:15,2,-55.402,longitude,degree
2016-09-25 10:19:15,3,42.413,latitude,degree
2016-09-25 10:19:15,34,B,argosLC,unitless
2016-09-25 13:52:17,2,-55.357,longitude,degree
2016-09-25 13:52:17,3,42.446,latitude,degree
2016-09-25 13:52:17,34,B,argosLC,unitless
2016-09-26 14:25:30,2,-55.274,longitude,degree
2016-09-26 14:25:30,3,42.687,latitude,degree
2016-09-26 14:25:30,34,B,argosLC,unitless
2016-09-26 16:53:45,2,-55.415,longitude,degree
2016-09-26 16:53:45,3,42.913,latitude,degree
2016-09-26 16:53:45,34,B,argosLC,unitless
2016-09-27 05:15:36,2,-55.5,longitude,degree
2016-09-27 05:15:36,3,43.284,latitude,degree
2016-09-27 05:15:36,34,B,argosLC,unitless
2016-09-28 11:30:32,2,-55.096,longitude,degree
2016-09-28 11:30:32,3,43.529,latitude,degree
2016-09-28 11:30:32,34,B,argosLC,unitless
2016-09-29 10:36:40,2,-54.663,longitude,degree
2016-09-29 10:36:40,3,43.526,latitude,degree
2016-09-29 10:36:40,34,A,argosLC,unitless
2016-09-30 06:16:58,2,-54.279,longitude,degree
2016-09-30 06:16:58,3,43.464,latitude,degree
2016-09-30 06:16:58,34,1,argosLC,unitless
2016-09-30 12:07:06,2,-54.181,longitude,degree
2016-09-30 12:07:06,3,43.412,latitude,degree
2016-09-30 12:07:06,34,B,argosLC,unitless
2016-10-01 10:13:24,2,-53.848,longitude,degree
2016-10-01 10:13:24,3,43.27,latitude,degree
2016-10-01 10:13:24,34,B,argosLC,unitless
2016-10-01 10:35:11,2,-54.078,longitude,degree
2016-10-01 10:35:11,3,43.371,latitude,degree
2016-10-01 10:35:11,34,B,argosLC,unitless
2016-10-01 13:30:28,2,-54.074,longitude,degree
2016-10-01 13:30:28,3,43.383,latitude,degree
2016-10-01 13:30:28,34,2,argosLC,unitless
2016-10-01 15:09:42,2,-54.091,longitude,degree
2016-10-01 15:09:42,3,43.375,latitude,degree
2016-10-01 15:09:42,34,B,argosLC,unitless
2016-10-02 11:26:29,2,-54.014,longitude,degree
2016-10-02 11:26:29,3,43.285,latitude,degree
2016-10-02 11:26:29,34,B,argosLC,unitless
2016-10-02 17:26:26,2,-54.098,longitude,degree
2016-10-02 17:26:26,3,43.423,latitude,degree
2016-10-02 17:26:26,34,A,argosLC,unitless
2016-10-03 13:38:37,2,-54.058,longitude,degree
2016-10-03 13:38:37,3,43.489,latitude,degree
2016-10-03 13:38:37,34,B,argosLC,unitless
2016-10-04 13:16:47,2,-53.985,longitude,degree
2016-10-04 13:16:47,3,43.414,latitude,degree
